schedule_id,departure_station,arrival_station,train_operator,connection_id,departure_time,arrival_time,service_days_bitmap,legs
1,Station D,Station C,ExpressLine,conn_1,12:46 AM,06:04 AM,16,
2,Station D,Station J,FastTrack,conn_2,01:58 PM,04:45 PM,64,
3,Station E,Station G,SuperRail,conn_3,06:09 PM,09:22 PM,2,
4,Station D,Station J,TrainCo,conn_4,03:09 AM,06:34 AM,64,
5,Station E,Station J,FastTrack,conn_5,12:21 PM,07:19 PM,2,
6,Station G,Station I,FastTrack,conn_6,08:26 PM,12:07 AM,64,
7,Station C,Station A,CityLink,conn_7,11:57 AM,05:01 PM,1,
8,Station J,Station B,FastTrack,conn_8,12:59 AM,05:43 AM,1,
9,Station A,Station F,FastTrack,conn_9,12:22 AM,07:01 AM,8,
10,Station C,Station J,SuperRail,conn_10,06:44 AM,11:46 AM,2,
11,Station H,Station A,TrainCo,conn_11,12:50 AM,04:48 AM,8,
12,Station D,Station A,TrainCo,conn_12,03:55 PM,09:34 PM,32,
13,Station H,Station I,CityLink,conn_13,10:35 AM,04:40 PM,4,
14,Station J,Station A,ExpressLine,conn_14,11:54 AM,03:47 PM,4,
15,Station J,Station E,FastTrack,conn_15,01:51 AM,07:35 AM,64,
16,Station H,Station F,ExpressLine,conn_16,05:59 AM,12:45 PM,1,
17,Station H,Station E,FastTrack,conn_17,12:01 AM,04:52 AM,4,
18,Station J,Station H,CityLink,conn_18,09:24 PM,02:19 AM,1,
19,Station G,Station I,CityLink,conn_19,03:41 PM,06:52 PM,32,
20,Station E,Station H,CityLink,conn_20,09:28 AM,11:37 AM,32,
21,Station F,Station H,CityLink,conn_21,05:29 AM,10:56 AM,1,
22,Station D,Station C,TrainCo,conn_22,04:45 AM,09:56 AM,2,
23,Station D,Station A,FastTrack,conn_23,05:04 AM,08:09 AM,16,
24,Station C,Station G,SuperRail,conn_24,11:48 AM,02:08 PM,64,
25,Station H,Station G,ExpressLine,conn_25,12:46 AM,06:57 AM,16,
26,Station A,Station I,FastTrack,conn_26,06:17 AM,08:22 AM,4,
27,Station A,Station C,ExpressLine,conn_27,05:54 PM,07:58 PM,64,
28,Station H,Station C,TrainCo,conn_28,09:29 PM,02:05 AM,8,
29,Station G,Station D,FastTrack,conn_29,04:46 AM,07:25 AM,2,
30,Station C,Station E,TrainCo,conn_30,03:39 AM,05:46 AM,16,
31,Station E,Station F,TrainCo,conn_31,05:36 PM,10:36 PM,64,
32,Station I,Station H,ExpressLine,conn_32,12:24 AM,07:05 AM,16,
33,Station C,Station A,TrainCo,conn_33,10:10 PM,01:34 AM,4,
34,Station G,Station D,SuperRail,conn_34,04:59 AM,11:06 AM,16,
35,Station B,Station I,FastTrack,conn_35,08:44 PM,10:44 PM,64,
36,Station I,Station C,ExpressLine,conn_36,02:58 PM,09:03 PM,4,
37,Station F,Station C,ExpressLine,conn_37,11:35 AM,02:34 PM,2,
38,Station H,Station E,TrainCo,conn_38,09:24 AM,02:04 PM,4,
39,Station D,Station H,FastTrack,conn_39,07:51 PM,02:32 AM,64,
40,Station D,Station H,ExpressLine,conn_40,02:15 AM,09:08 AM,4,
41,Station G,Station I,FastTrack,conn_41,04:20 PM,09:16 PM,32,
42,Station G,Station H,FastTrack,conn_42,07:40 AM,11:01 AM,32,
43,Station B,Station F,TrainCo,conn_43,09:07 AM,03:42 PM,8,
44,Station J,Station C,ExpressLine,conn_44,03:24 AM,10:16 AM,8,
45,Station C,Station F,ExpressLine,conn_45,10:04 PM,01:31 AM,4,
46,Station H,Station F,TrainCo,conn_46,10:14 PM,01:41 AM,64,
47,Station H,Station J,FastTrack,conn_47,06:42 AM,12:46 PM,64,
48,Station J,Station D,CityLink,conn_48,03:32 AM,10:03 AM,32,
49,Station G,Station H,FastTrack,conn_49,05:38 PM,11:53 PM,32,
50,Station C,Station F,CityLink,conn_50,01:18 PM,06:23 PM,2,
51,Station C,Station E,ExpressLine,conn_51,04:45 AM,09:44 AM,32,
52,Station E,Station F,ExpressLine,conn_52,06:59 PM,10:33 PM,32,
53,Station I,Station B,SuperRail,conn_53,07:46 AM,12:01 PM,32,
54,Station B,Station J,FastTrack,conn_54,07:07 AM,10:49 AM,2,
55,Station I,Station H,ExpressLine,conn_55,03:46 PM,08:17 PM,64,
56,Station A,Station D,SuperRail,conn_56,08:01 PM,11:10 PM,8,
57,Station F,Station G,SuperRail,conn_57,04:48 PM,11:16 PM,4,
58,Station J,Station I,ExpressLine,conn_58,07:46 PM,10:04 PM,2,
59,Station H,Station G,SuperRail,conn_59,09:46 AM,03:13 PM,64,
60,Station D,Station C,CityLink,conn_60,10:30 AM,12:31 PM,16,
61,Station H,Station G,ExpressLine,conn_61,07:22 AM,11:27 AM,64,
62,Station A,Station B,CityLink,conn_62,05:35 PM,11:17 PM,1,
63,Station D,Station A,SuperRail,conn_63,05:19 PM,11:46 PM,1,
64,Station E,Station J,FastTrack,conn_64,03:32 AM,06:50 AM,64,
65,Station I,Station H,CityLink,conn_65,06:11 AM,09:52 AM,64,
66,Station D,Station B,ExpressLine,conn_66,09:00 PM,03:46 AM,1,
67,Station E,Station D,SuperRail,conn_67,08:12 PM,01:30 AM,8,
68,Station I,Station A,TrainCo,conn_68,11:29 PM,04:27 AM,2,
69,Station B,Station F,SuperRail,conn_69,09:00 PM,03:51 AM,2,
70,Station C,Station F,FastTrack,conn_70,12:32 PM,02:57 PM,64,
71,Station H,Station D,ExpressLine,conn_71,03:30 PM,09:37 PM,1,
72,Station G,Station I,CityLink,conn_72,10:07 AM,02:04 PM,64,
73,Station G,Station D,FastTrack,conn_73,06:12 AM,09:01 AM,8,
74,Station E,Station J,ExpressLine,conn_74,10:31 PM,04:56 AM,1,
75,Station J,Station G,ExpressLine,conn_75,04:36 AM,10:02 AM,64,
76,Station A,Station I,SuperRail,conn_76,01:56 PM,06:08 PM,1,
77,Station A,Station B,CityLink,conn_77,10:46 PM,02:37 AM,64,
78,Station C,Station J,FastTrack,conn_78,11:20 PM,04:59 AM,2,
